marker1	marker2	count
Ots_crRAD66330-60	Ots_Ots311-101x	1
Ots_crRAD74766-28	Ots_129144-472	1
Ots_crRAD76512-28	Ots_122414-56	9
Ots_crRAD76512-28	Ots_P53	1
Ots_crRAD92420-25	Ots17_1488679_C6	1
Ots_crRAD92420-25	Ots28_11025336	2
Ots_crRAD92420-25	Ots_130720-99	1
Ots_crRAD92420-25	Ots_ETIF1A	1
Ots_crRAD92420-25	Ots_GnRH-271	2
Ots_crRAD92420-25	Ots_P53	51
Ots_crRAD92420-25	Ots_crRAD25367-50	15
Ots_crRAD92420-25	Ots_myoD-364	1
Ots_crRAD9615-69	Ots7_53291035	2
Ots_crRAD9615-69	Ots_HFABP-34	7
Ots_crRAD9615-69	Ots_P53	1
Ots_crRAD9615-69	Ots_crRAD55400-59	3
Ots_hsp27b-150	Ots_123048-521	1
Ots_mapK-3'-309	Ots_CHI06105101_16717	1
Ots_myo1a-384	Ots_AldB1-122	195
Ots_myo1a-384	Ots_TGFB	11
Ots_myo1a-384	Ots_pop5-96	1
Ots_myo1a-384	Ots_u07-53.133	2001
Ots_nelfd-163	Ots_GDH-81x	17
Ots_nelfd-163	Ots_MHC2	3194
Ots_nelfd-163	Ots_pop5-96	1
Ots_nramp-321	Ots1_72858599	5
Ots_ntl-255	Ots_redd1-187	2
Ots_parp3-286	Ots28_11077576	37
Ots_parp3-286	Ots_MHC2	12
Ots_parp3-286	Ots_crRAD55400-59	2731
Ots_ppie-245	Ots_P53	11
Ots_sept9-78	Ots28_11077016	55
Ots_sept9-78	Ots37124_12281207	2
Ots_sept9-78	Ots_103041-52	22
Ots_sept9-78	Ots_129458-451	1
Ots_sept9-78	Ots_94857-232R	1
Ots_sept9-78	Ots_CHI06027687_143477	1
Ots_sept9-78	Ots_GPH-318	13
Ots_sept9-78	Ots_GST-375	10
Ots_sept9-78	Ots_P450-288	48
Ots_sept9-78	Ots_P53	5
Ots_sept9-78	Ots_brp16-64	1
Ots_sept9-78	Ots_crRAD20887-70	3
Ots_sept9-78	Ots_slc7a2-71	5
Ots_slc7a2-71	Ots_110201-363	17
Ots_slc7a2-71	Ots_97077-179R	8
Ots_slc7a2-71	Ots_CHI06035945_4547	1
Ots_slc7a2-71	Ots_txnip-321	7
Ots_tpx2-125	Ots_130720-99	1
Ots_tpx2-125	Ots_crRAD57687-34	1
Ots_trnau1ap-86	Ots_crRAD12037-39	16
Ots_u07-25.325	Ots_mapKpr-151	7
Ots_u07-49.290	Ots_crRAD26165-69	1
Ots_u1002-75	Ots29_23344676	4
Ots_u1002-75	Ots37124_12272852	2
Ots_u1007-124	Ots_S7-1	3
Ots_u1007-124	Ots_TGFB	1
Ots_u1008-108	Ots37124_12281207	1
Ots_u1008-108	Ots_GPH-318	2
Ots_u1008-108	Ots_HFABP-34	10
Ots_u1008-108	Ots_P450-288	2
Ots_u1008-108	Ots_TLR3	1
Ots_u202-161	Ots_Cath_D141	1
Ots_u202-161	Ots_P450-288	7
Ots_u202-161	Ots_P53	1
Ots_u211-85	Ots_HFABP-34	2
Ots_u4-92	Ots_102801-308	1
Ots_u4-92	Ots_RAD4543-52	3
Ots_unk3513-49	Ots_103122-180	1
Ots_unk3513-49	Ots_CD59-2	1
Ots_unk3513-49	Ots_HSP90B-100	1
Ots_unk3513-49	Ots_P53	1
Ots_unk3513-49	Ots_ZR-575	1
Ots_unk526	Ots28_11070757	1
Ots_unk526	Ots_mapKpr-151	1
Ots_unk526	Ots_pop5-96	3
Ots_unk526	Ots_unk1104-38	1
Ots_unk9480-51	Ots_P450-288	1
Ots_wenYhap_106664_9	Ots_108820-336	3
Ots_wenYhap_106664_9	Ots_AldB1-122	10
Ots_wenYhap_25067_92	Ots_SClkF2R2-135	4
Ots_wenYhap_71572	Ots_crRAD55400-59	2
Ots_zn593-346	Ots_crRAD57687-34	1
