marker	primer_count	probe_count
Ots_SClkF2R2-135	197226	207651
Ots_TCTA-58	119069	104515
Ots_110381-164	139222	100688
Ots_hsp27b-150	1848744	75133
Ots_crRAD61523-71	221684	223649
Ots_Ikaros-250	109658	105821
Ots_108007-208	163598	169824
Ots_112820-284	162288	169695
Ots_118938-325	139968	145373
Ots_107074-284	111964	112901
Ots_106419b-618	286211	160429
Ots_OTSTF1-SNP1	129432	135504
Ots_DDX5-171	129968	131571
Ots_Est740	124797	125814
Ots_MHC2	223616	135660
Ots_129144-472	119246	123215
Ots_nramp-321	131531	117759
Ots_E2-275	220743	224445
Ots_BMP2-SNP1	169459	162299
Ots_105132-200	191036	167124
Ots_TLR3	300640	109044
Ots_stk6-516	129950	136906
Ots_117259-271	129128	130063
Ots_crRAD16540-50	340586	351025
Ots_112876-371	142566	140400
Ots_crRAD23631-48	383249	357969
Ots_117432-409	124313	126872
Ots_GST-375	206076	196576
Ots_crRAD18937-60	152968	154311
Ots_112301-43	109429	104587
Ots_109525-816	132152	135651
Ots_94857-232R	191803	176112
Ots_u07-64.221	92215	95459
Ots_crRAD46081-56	401583	281220
Ots_crRAD13725-51	264821	162529
Ots_110064-383	125360	124287
Ots_crRAD20887-70	322317	324151
Ots_123048-521	137465	141631
Ots_crRAD69327-53	366741	377116
Ots_RAD4543-52	146186	154565
Ots_HSP90B-100	196633	199008
Ots_U212-158	216318	221090
Ots_crRAD57520-66	202210	202974
Ots9_28975221	45547	45915
Ots18_3541813	37897	38592
Ots28_11025336	43545	19170
Ots11_11925999	35565	32507
Ots28_11095755	25830	26977
Ots28_11077576	65082	67928
Ots18_30099101	62304	64372
Ots7_53631522	30570	31609
Ots7_53291035	49213	17314
Ots1_72858599	42600	43172
Ots7_51409415	37213	38647
Ots2_42405643	51219	52135
Ots12_23066874	56047	55483
Ots15_18157381	50382	48340
Ots18_32088284	47589	220497
Ots5_44795073	118297	121588
Ots28_11202190	297242	311189
Ots28_11077172	52508	50248
Ots6_33505144	86608	88190
Ots33_19359879	98492	101289
Ots2_38264269	103703	97691
Ots17_885364	48987	50100
Ots28_11160599	30146	29471
Ots28_11205993	51828	52913
Ots10_21244146	56006	58998
Ots4_64978818	62950	61853
Ots18_29943476	66634	68588
Ots6_10904949	51984	51134
Ots18_3426299	46277	47010
Ots7_50997124	84371	80882
Ots30_17330452	125145	126831
Ots3_34894254	93732	96793
Ots22_32650802	111973	113915
Ots30_17330688	136266	136338
Ots28_11075712	103252	106662
Ots28_11072994	126702	127919
Ots28_11164637	41615	42343
Ots4_40942276	84665	89689
Ots29_23344676	81588	82319
Ots9_16115048	143390	142099
Ots28_11201129	79987	80663
Ots28_11073668	65696	66874
Ots28_11023212	83882	83064
Ots_unk526	623486	559009
Ots_crRAD44588-67	841430	869025
Ots28_11077016	221287	222020
Ots14_5453033	121983	127085
Ots_u07-57.120	7406103	44470
Ots_131906-141	1269914	30207
Ots_103122-180	2690052	37631
Ots_U5121-34	16376	16617
Ots_97077-179R	37612	39545
Ots_NOD1	26102	25920
Ots_RFC2-558	106634	34888
Ots_slc7a2-71	83956	64501
Ots_crRAD60620-51	111398	108899
Ots_crRAD20262-46	78268	77206
Ots_HFABP-34	79059	37307
Ots_unk1104-38	147347	75519
Ots_ARNT	92860	90586
Ots_U5049-250	15022	16521
Ots_EndoRB1-486	28866	24669
Ots_106747-239	56401	54049
Ots_105385-421	40974	42093
Ots_129458-451	62817	64776
Ots_crRAD27515-69	97681	94624
Ots_Ostm1	49276	36925
Ots_122414-56	29577	30334
Ots_Myc-366	22535	23416
Ots_GPH-318	51320	52163
Ots_GH2	70701	73667
Ots_IL11	103607	51337
Ots_120950-417	38526	30024
Ots_crRAD34397-33	104786	56443
Ots_sept9-78	95496	96830
Ots_crRAD73823-60	107262	114885
Ots_crRAD33491-71	56096	56620
Ots_CCR7	40667	38081
Ots_brp16-64	71733	73122
Ots_101554-407	111498	39594
Ots_U2362-227	84953	88383
Ots_crRAD9615-69	373621	229989
Ots_unk9480-51	117052	117461
Ots_109693-392	56134	55524
Ots_myo1a-384	45852	45044
Ots_IL8R_C8	71734	64906
Ots_unk3513-49	86858	86464
Ots_crRAD78968-46	420735	405719
Ots_u1002-75	68260	47600
Ots_102867-609	98429	98740
Ots_cgo24-22	197471	199168
Ots_TAPBP	139419	72163
Ots_crRAD55400-59	392997	449705
Ots_P53	71962	72337
Ots_118205-61	192450	153201
Ots_TNF	63102	59562
Ots_crRAD47297-55	106835	107490
Ots_103041-52	63842	60901
Ots_crRAD26081-28	292566	224046
Ots_crRAD22960-32	232765	116171
Ots28_11206740	13636	12856
Ots29_18791740	20321	21068
Ots28_11143508	18295	18905
Ots28_11070757	29793	26340
Ots28_11071377	20146	19396
Ots4_41638710	27690	27348
Ots3_57055518	16350	16956
Ots18_3550047	22931	23622
Ots11_32418659	27125	26113
Ots28_11207428	22125	19628
Ots5_70908626	71646	57181
Ots28_11210919	46605	24693
Ots4_42378741	50994	50919
Ots28_11205423	100718	20531
Ots28_11075348	79862	84272
Ots17_22360456	57179	36317
Ots19_46172133	75539	35245
Ots19_46172427	17233	15834
